[2020-04-17T11:05:45.810Z] INFO: type-service listening at http://0.0.0.0:8010 (in type-service.js)
[2020-04-17T11:05:45.811Z] INFO: type-service listening at http://0.0.0.0:8110 (in type-service.js)
[2020-04-17T11:11:02.988Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 7b4fe237-5449-4c36-a127-0b2de943598d (in type-service.js)
[2020-04-17T11:11:02.988Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 3d6b95e1-bf1b-40e8-9c0f-e07decdf6754 (in type-service.js)
[2020-04-17T11:11:02.988Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 ab378db5-7de7-466f-96da-8d2eb72b2915 (in type-service.js)
[2020-04-17T11:11:02.997Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 b18e8d77-46c0-41f6-b9fe-6ba0229ddb40 (in type-service.js)
[2020-04-17T11:11:03.008Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 ab92b96f-39d4-407b-9829-eb7473f11b30 (in type-service.js)
[2020-04-17T11:11:03.016Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 d08ea79d-a146-484f-90c1-75e04ab008db (in type-service.js)
[2020-04-17T11:11:03.016Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 a5f5caa6-ac02-43b9-b1cf-cb794a55481b (in type-service.js)
[2020-04-17T11:11:03.016Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 9c1140c4-ecf5-451f-b1e7-7380546624ad (in type-service.js)
[2020-04-17T11:11:03.016Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 2d9bb39e-68df-458f-a0b5-f6d0cebf4319 (in type-service.js)
[2020-04-17T11:11:03.024Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 9f597d84-166c-480b-88d4-a15cee9eae7b (in type-service.js)
[2020-04-17T11:11:03.024Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 b9c600df-d5a6-416b-8c9d-c74d566de2fe (in type-service.js)
[2020-04-17T11:11:03.024Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 68579484-8a07-4d15-a9dd-4606991cb01d (in type-service.js)
[2020-04-17T11:11:03.024Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 6be9a50c-dcab-4d2c-bda8-14506a2e9eef (in type-service.js)
[2020-04-17T11:11:03.032Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 3e72c4a8-4075-4625-8f25-2f1ac88db824 (in type-service.js)
[2020-04-17T11:11:03.032Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 f27a1d55-a523-4e75-8aa4-6262d3901bb2 (in type-service.js)
[2020-04-17T11:11:03.032Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 e05a90f1-6061-4aad-90d1-69c25908fb9c (in type-service.js)
[2020-04-17T11:11:03.033Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 1cac04a8-1f20-4ca9-9f70-4b5b95a955ab (in type-service.js)
[2020-04-17T11:11:03.033Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 e1a12714-70eb-4ca8-a299-937dbd5ef022 (in type-service.js)
[2020-04-17T11:11:03.033Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 b5f453f6-ba23-420b-85fc-e50af2ed9d43 (in type-service.js)
[2020-04-17T11:11:03.033Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 10372863-c812-4fe4-ab50-e52a8f17f8fc (in type-service.js)
[2020-04-17T11:11:03.038Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 0321de0f-b86b-46b3-9699-9d8241e83b76 (in type-service.js)
[2020-04-17T11:11:03.044Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 92f49765-3679-4018-851a-74d9e67e7079 (in type-service.js)
[2020-04-17T11:11:03.044Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 cb7d311e-1a61-4806-87ef-f9d09b0b5e05 (in type-service.js)
[2020-04-17T11:11:03.044Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 2bec3db3-bc38-41f8-8090-d7ac8aa18d74 (in type-service.js)
[2020-04-17T11:11:03.044Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 4b556f38-02ce-4785-afa4-3730cd8af7c1 (in type-service.js)
[2020-04-17T11:11:03.044Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 0f11c42b-009d-47b6-adcd-a27cc37ae6e1 (in type-service.js)
[2020-04-17T11:11:03.049Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 a29fb792-e3b3-425e-a357-b800a8c9c282 (in type-service.js)
[2020-04-17T11:11:03.050Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 e06a83c6-925f-4975-a0b8-19bf75b3950d (in type-service.js)
[2020-04-17T11:11:03.209Z] INFO: type tagging 28 datasets took 304ms (in type-service.js)
[2020-04-17T11:48:22.669Z] INFO: type tagging 28 datasets took 49ms (in type-service.js)
[2020-04-17T12:09:58.638Z] INFO: type tagging 28 datasets took 63ms (in type-service.js)
[2020-04-17T12:13:01.338Z] INFO: type tagging 28 datasets took 168ms (in type-service.js)
[2020-04-17T14:30:46.046Z] INFO: type-service listening at http://0.0.0.0:8010 (in type-service.js)
[2020-04-17T14:30:46.047Z] INFO: type-service listening at http://0.0.0.0:8110 (in type-service.js)
[2020-04-17T14:38:10.491Z] INFO: type-service listening at http://0.0.0.0:8010 (in type-service.js)
[2020-04-17T14:38:10.492Z] INFO: type-service listening at http://0.0.0.0:8110 (in type-service.js)
[2020-04-17T14:39:54.939Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 7b4fe237-5449-4c36-a127-0b2de943598d (in type-service.js)
[2020-04-17T14:39:54.939Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 3d6b95e1-bf1b-40e8-9c0f-e07decdf6754 (in type-service.js)
[2020-04-17T14:39:54.940Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 ab378db5-7de7-466f-96da-8d2eb72b2915 (in type-service.js)
[2020-04-17T14:39:54.950Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 b18e8d77-46c0-41f6-b9fe-6ba0229ddb40 (in type-service.js)
[2020-04-17T14:39:54.962Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 ab92b96f-39d4-407b-9829-eb7473f11b30 (in type-service.js)
[2020-04-17T14:39:54.972Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 d08ea79d-a146-484f-90c1-75e04ab008db (in type-service.js)
[2020-04-17T14:39:54.973Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 a5f5caa6-ac02-43b9-b1cf-cb794a55481b (in type-service.js)
[2020-04-17T14:39:54.973Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 9c1140c4-ecf5-451f-b1e7-7380546624ad (in type-service.js)
[2020-04-17T14:39:54.973Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 2d9bb39e-68df-458f-a0b5-f6d0cebf4319 (in type-service.js)
[2020-04-17T14:39:54.981Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 9f597d84-166c-480b-88d4-a15cee9eae7b (in type-service.js)
[2020-04-17T14:39:54.981Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 b9c600df-d5a6-416b-8c9d-c74d566de2fe (in type-service.js)
[2020-04-17T14:39:54.981Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 68579484-8a07-4d15-a9dd-4606991cb01d (in type-service.js)
[2020-04-17T14:39:54.981Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 6be9a50c-dcab-4d2c-bda8-14506a2e9eef (in type-service.js)
[2020-04-17T14:39:54.990Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 3e72c4a8-4075-4625-8f25-2f1ac88db824 (in type-service.js)
[2020-04-17T14:39:54.990Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 f27a1d55-a523-4e75-8aa4-6262d3901bb2 (in type-service.js)
[2020-04-17T14:39:54.991Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 e05a90f1-6061-4aad-90d1-69c25908fb9c (in type-service.js)
[2020-04-17T14:39:54.991Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 1cac04a8-1f20-4ca9-9f70-4b5b95a955ab (in type-service.js)
[2020-04-17T14:39:54.991Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 e1a12714-70eb-4ca8-a299-937dbd5ef022 (in type-service.js)
[2020-04-17T14:39:54.991Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 b5f453f6-ba23-420b-85fc-e50af2ed9d43 (in type-service.js)
[2020-04-17T14:39:54.991Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 10372863-c812-4fe4-ab50-e52a8f17f8fc (in type-service.js)
[2020-04-17T14:39:54.998Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 0321de0f-b86b-46b3-9699-9d8241e83b76 (in type-service.js)
[2020-04-17T14:39:55.004Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 92f49765-3679-4018-851a-74d9e67e7079 (in type-service.js)
[2020-04-17T14:39:55.004Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 cb7d311e-1a61-4806-87ef-f9d09b0b5e05 (in type-service.js)
[2020-04-17T14:39:55.004Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 2bec3db3-bc38-41f8-8090-d7ac8aa18d74 (in type-service.js)
[2020-04-17T14:39:55.004Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 4b556f38-02ce-4785-afa4-3730cd8af7c1 (in type-service.js)
[2020-04-17T14:39:55.004Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 0f11c42b-009d-47b6-adcd-a27cc37ae6e1 (in type-service.js)
[2020-04-17T14:39:55.011Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 a29fb792-e3b3-425e-a357-b800a8c9c282 (in type-service.js)
[2020-04-17T14:39:55.011Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 e06a83c6-925f-4975-a0b8-19bf75b3950d (in type-service.js)
[2020-04-17T14:39:55.167Z] INFO: type tagging 28 datasets took 285ms (in type-service.js)
[2020-04-17T14:54:04.222Z] INFO: type-service listening at http://0.0.0.0:8010 (in type-service.js)
[2020-04-17T14:54:04.223Z] INFO: type-service listening at http://0.0.0.0:8110 (in type-service.js)
[2020-04-17T14:54:13.419Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 7b4fe237-5449-4c36-a127-0b2de943598d (in type-service.js)
[2020-04-17T14:54:13.420Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 3d6b95e1-bf1b-40e8-9c0f-e07decdf6754 (in type-service.js)
[2020-04-17T14:54:13.420Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 ab378db5-7de7-466f-96da-8d2eb72b2915 (in type-service.js)
[2020-04-17T14:54:13.431Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 b18e8d77-46c0-41f6-b9fe-6ba0229ddb40 (in type-service.js)
[2020-04-17T14:54:13.444Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 ab92b96f-39d4-407b-9829-eb7473f11b30 (in type-service.js)
[2020-04-17T14:54:13.452Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 d08ea79d-a146-484f-90c1-75e04ab008db (in type-service.js)
[2020-04-17T14:54:13.453Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 a5f5caa6-ac02-43b9-b1cf-cb794a55481b (in type-service.js)
[2020-04-17T14:54:13.453Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 9c1140c4-ecf5-451f-b1e7-7380546624ad (in type-service.js)
[2020-04-17T14:54:13.453Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 2d9bb39e-68df-458f-a0b5-f6d0cebf4319 (in type-service.js)
[2020-04-17T14:54:13.463Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 9f597d84-166c-480b-88d4-a15cee9eae7b (in type-service.js)
[2020-04-17T14:54:13.463Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 b9c600df-d5a6-416b-8c9d-c74d566de2fe (in type-service.js)
[2020-04-17T14:54:13.463Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 68579484-8a07-4d15-a9dd-4606991cb01d (in type-service.js)
[2020-04-17T14:54:13.463Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 6be9a50c-dcab-4d2c-bda8-14506a2e9eef (in type-service.js)
[2020-04-17T14:54:13.472Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 3e72c4a8-4075-4625-8f25-2f1ac88db824 (in type-service.js)
[2020-04-17T14:54:13.472Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 f27a1d55-a523-4e75-8aa4-6262d3901bb2 (in type-service.js)
[2020-04-17T14:54:13.472Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 e05a90f1-6061-4aad-90d1-69c25908fb9c (in type-service.js)
[2020-04-17T14:54:13.474Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 1cac04a8-1f20-4ca9-9f70-4b5b95a955ab (in type-service.js)
[2020-04-17T14:54:13.474Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 e1a12714-70eb-4ca8-a299-937dbd5ef022 (in type-service.js)
[2020-04-17T14:54:13.475Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 b5f453f6-ba23-420b-85fc-e50af2ed9d43 (in type-service.js)
[2020-04-17T14:54:13.475Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 10372863-c812-4fe4-ab50-e52a8f17f8fc (in type-service.js)
[2020-04-17T14:54:13.483Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 0321de0f-b86b-46b3-9699-9d8241e83b76 (in type-service.js)
[2020-04-17T14:54:13.489Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 92f49765-3679-4018-851a-74d9e67e7079 (in type-service.js)
